Company_Name,Link_Company,Booth_Number,Link_Booth,About the Company,Company's Categories,Digital Press Releases
VideoRay,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2260,60106,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1366,, Tools Law Enforcement Products/Services Survival Kits/First Aid,VideoRay Acquires Blue Ring Imaging
Viewway Optics,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2394,43250,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1238,"Founded in 2003, with over 20 years of professional experiences, Viewway Optics has been growing as one of the main OEM suppliers for riflescope, binoculars, spotting-scope, microscope, telescope, range-finder, night vision and other optronic products in the global market of hunting, sporting, birdwatching, photographic imaging and education. The company owns a staff team of 30 people, half of them with bachelor’s degree; much experienced in R&D, technique, technology, quality assurance, leads to professional service for all customers.", Reloading Binoculars/Telescopes,
Vigour Corporation,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1557,20360,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1963,"Vigour Corporation is a family-owned manufacturing business since 1992. We offer OEM/ODM supply service being specialised in highly innovative and superior quality Personal Protective Equipment including Riot Protective Suits, Gloves, Backpacks, Carriers, Vests and tactical accessories with high volume supply capability. We are manufacturers and work as a production house for different brands, we can produce any gear with your own brand logo. Website www.vigourcorporation.com E-mail: info@vigourcorporation.com"," Law Enforcement Products/Services Hunting Gear/Accessories Bags/Packs & Equipment Apparel, Men's Apparel, Women's",Catalogue PDFAnti Riot Suits
VihtaVuori,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3050,11227,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1606,"For over a hundred years, Vihtavuori has produced industry-leading propellants that meet the strictest criteria for both civilian and military requirements. Building on a century of innovation, experience, and craftsmanship, Vihtavuori is known for clean burning, temperature stable and consistent reloading powder. Vihtavuori powders are produced in-house, ensuring reliable ballistic performance, long shelf-life, and a wide variety selection.",,
Viken Detection Corporation,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2303,61406,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1422,"Viken Detection provides enabling security imaging and material identification solutions that help law enforcement and safety inspection professionals keep the public safe from drug trafficking, terrorism and other hazardous threats. The company’s innovative products, the Osprey-UVX (vehicle scanner), the Nighthawk-HBI (handled imager) and Pb200ie (lead-paint analyzer), are the recognized leaders in their markets. Viken Detection is headquartered in Burlington, Massachusetts.", Law Enforcement Products/ServicesSHOT,
Viktos LLC,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2784,VL278,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2116,"VIKTØS was launched in the fall of 2017 by a combined force of industry and military veterans; our mission is to produce innovative gear for the tactical user. Our product transcends the typical boundaries of conventional tactical companies and addresses the entire black gun lifestyle, from combat to training & everyday carry to R&R. It is a decidedly unique approach from a decidedly unique brand."," Apparel, Men's Bags/Packs & Equipment Footwear Outfitters Wholesaler/Distributor Retailer Services",
Viperade,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3627,42810,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2805,Viperade is a start up by a group of hardcore Tactical/ Outdoor and EDC-holics or enthusiast who gathered to create Tactical/ EDC bags to store their equipment. Our unique holistic concepts between Tactical bags and Outdoor/ EDC gear and collectors have led us to create a comprehensive series of storage platforms in range of different materials to serve different environments so Tactical/ EDC collectors and even adventurers can store and organize their Tactical/ EDC equipment. Viperade. Pioneers in redefining Tactical/ Outdoor/ EDC storage platform,,
Viridian Weapon Technologies,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1560,10167,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1514,"Viridian Weapon Technologies is devoted to applying cutting-edge technology to design compact, powerful self-defense products for the civilian, military and law enforcement markets. Viridian is the leader in weapon-mounted technology and responsible for a number of firearm accuracy, transparency, and ease-of-use innovations including green and red laser sights, LED weapon-mounted illuminators, gun cameras, green dot optics, green dot reflex sights, and several shooting accessories. Viridian products are designed and built in the USA. More information is available at ViridianWeaponTech.com.", Lighting Products Retailer Services Holsters Law Enforcement Products/Services Cameras/Equipment,
VirTra,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1561,20535,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2795,"VirTra’s goal is to help officers return home safely every day by creating intense, immersive training solutions that keep police officers and warfighters safe, prepared and armed with excelled skills. VirTra is a global provider of judgmental use of force and marksmanship training simulators for the law enforcement, military, educational and commercial markets. The company understands and values the need for increased and effective training to make a difference within communities. VirTra provides realistic training that is easily transferable to the field.", Training and Safety Equipment Law Enforcement Products/Services,
Virtual-Shot,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2351,42030,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=972,"Virtual-Shot shooting simulator is a revolutionary new technology that is changing the way people practice shooting.

Virtual-Shot is an Australian veteran-owned and operated company, that strives to provide high-quality and easily accessible training systems.    

The mobile phone-based simulation system provides a realistic shooting experience without the need for live ammunition or going to a simulation range. It is a great way for shooters to practice their skills without having to worry about the safety risks associated with live ammunition.

To see more visit https://virtual-shot.com", Shooting Range Equipment Software Airgun/Airsoft Products Law Enforcement Products/Services Communications/Electronics/GPS,
Vision Engraving & Routing Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1562,42839,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1141,"Vision Engraving & Routing Systems has been manufacturing computerized marking systems and accessories since 1983. Vision Systems are proudly manufactured in Phoenix, AZ, by an experienced team that is dedicated to excellence. Our product line provides significant advantages in terms of control, safety and reliability. We meet ATF requirements for serialization to uniquely identify each firearm. Our marking systems are used for direct parts marking for the purposes of traceability and branding, and offer a versatile solution.", Communications/Electronics/GPS Gunsmith Tools,
Vision33,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3576,41210,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2834,"We transform business processes and results for customers by delivering value through the promise of technology and its benefits for growing businesses. For over 30 years, Vision33 has helped companies integrate and automate their processes and applications to better serve their customers, employees, and stakeholders.", Software,
Visir Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2912,43752,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1302,"RIX Optics has developed the first Thermal Scope with Optical Zoom magnification. We are dedicated to providing unparalleled durability and performance with our range of Thermal & Night Vision Scopes, Thermal Monoculars and Range Finders compatible with LEAP Series. Our product testers offer us unbiased feedback so we can supply both our dealers and customers with quality products through constant innovation. We invite you to come see us at booth #43752 to check out our newest Laser Range Finder.", Scopes/Sights/Telescopes/Accessories Hunting Gear/Accessories Shooting Range Equipment Bags/Packs & Equipment,
Vista Outdoor,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1563,11838,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1652,"Vista Outdoor Inc. is a leading global designer, manufacturer and marketer of consumer products in the growing outdoor sports and recreation markets. We serve these markets through our diverse portfolio of well-recognized, performance-driven brands, including sporting and law enforcement ammunition, outdoor products, sports optics, reloading equipment, fashion apparel, eBikes, nutrition, and target and range products. We serve a broad range of end consumers, including outdoor enthusiasts, hunters and recreational shooters, professional athletes, and law enforcement and military professionals.", Ammunition Outfitters Hearing Protection Firearm Locks Black Powder/Smokeless Powder Firearms Maintenance/Cleaning Equipment,
VK Integrated Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1564,20253,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1941,"VK Integrated Systems (VKIS) is focused on three areas: Sensor Technology, Weapon Systems and Energetics. VKIS is actively engaged in the research, development and manufacture of inertial sensors and related technology for weapon systems as well as assured precision navigation and timing applications. VKIS Energetics Division is pioneering energetic materials development. Research into safe binary gel mixtures has led to the development of MatrEx Gel, an extremely versatile energetic compound. VKIS Energetics also provides training services to Military and Law Enforcement.", Communications/Electronics/GPS Firearm Grips/Stocks Firearms Law Enforcement Products/Services,
VKTR Industries,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3537,41820,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=929,"Occasionally technological leaps inform both the trajectory and the velocity of progress. VKTR Industries combines passion, precision, and purpose with proprietary technology to produce exceptional firearms unlike anything the industry has experienced to date. Never settling for what is, VKTR Industries believes firmly in evolution through design. By implementing the refinement of technical processes that deconstructs barriers of craftsmanship, VKTR has opened new possibilities of precision and has redefined the standard for excellence in firearms manufacturing.", Firearms,
Vltor Weapon Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1565,20441,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1980,"VLTOR Weapon Systems is proud to offer a line of high-quality, U.S.-manufactured firearm accessories for a variety of platforms. From the innovative VLTOR A5 recoil system to the KeyMod accessory mounting system, VLTOR provides new, versatile products to enhance the end-user’s performance. VLTOR also produces products for the SCAR, M1A and AK platforms. LE/MIL products are also offered, from a completely customized rifle to a 40mm less-lethal launcher.", Hearing Protection Firearm Grips/Stocks Eyewear Firearm Locks Logistics Fabrication,
Vogelsang Fastener Solutions,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2221,52305,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=190,"Vogelsang Fastener Solutions is a world-wide leading stocking manufacture formed metal parts and one of the world’s largest producer slotted tension pins (Roll Pins), Coiled Spring Pins, Slit Seamed Spacers and compression limiters. We have manufacturing in the United States, Czech Republic, France and Germany. We offer a wide range of materials including high carbon steel, 18-8 SS, and 420 SS, plating options and services for our customer. MS products are widely available when required.", Machining Metals,
Volcom Tactical,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3139,13654,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1755,"Volcom Tactical brings a skate-inspired lifestyle approach to Tactical Footwear design. Launching in Fall 2023, Volcom Tactical turns obstacles into opportunities, attempts the possible, and endlessly seeks elevation for those who pursue their passion - their TRUE TO THIS.",,
Voltran Av Silahlari (Ekol),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1566,40416,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=637,"BLANK PISTOLS , CO2 AIRGUNS , BREAK BARREL AIRRIFLES
PCP RIFLES", Airgun/Airsoft Products Fabrication,
Voodoo Tactical,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1567,10170,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1515,We are a manufacturer of tactical and shooting apparel., Bags/Packs & Equipment,
Vortakt Barrel Works,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2223,52204,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=151,"Firearm manufacturers rely on Vortakt to produce quality barrels manufactured to exact specifications with our cutting-edge technology. We offer expert engineering, precision manufacturing, and an integrated business partnership, all for the price of a barrel.", Machining Services OE materials Fabrication Finishing,
VTRON LASERS,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1632,42922,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1165,"laser source and system for fire arm industries: laser engravers, laser cutting system, laser marking system, laser guidance, laser scanning system, laser range finders", Cameras/Equipment Custom Manufacturing,
Vudoo Gun Works,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2450,70326,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2158,"Manufacture of custom rimfire rifles, centerfire rifles and pistols", Firearms,
Vulkan Blast Shot Technology,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2815,51310,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=379,"VULKAN BLAST SHOT TECHNOLOGY is a pioneer in the North American stainless steel abrasives market and a proud supplier to many manufacturers within the firearms production industry. We offer a high quality product and technically trained sales reps to assist you in making the right choice for your stainless steel abrasive media requirements tailored to YOUR needs. As an added benefit, Vulkan customers also receive COMPLIMENTARY on-site machine/finish evaluations to ensure the highest level of blasting efficiency and ultimate satisfaction.", Finishing,
Vytek,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1558,40748,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=696,"Vytek manufactures laser cutting, engraving, and marking equipment and creates software for a wide variety of markets and applications. Since 1989, Vytek has been developing and advancing a wide range of laser-based technologies from our state-of-the-art engineering and manufacturing facilities in Fitchburg, Massachusetts. Vytek has been the choice for companies and industries worldwide, and Vytek systems are designed, built and supported in the USA.", Machinery Custom Manufacturing,
Vytek Laser Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2220,51500,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=447,"Vytek Laser manufactures laser cutting, engraving, and marking equipment and software for a wide variety of markets and applications. Since 1989, Vytek Laser has been developing and advancing a wide range of laser based technologies from our state-of-the-art engineering and manufacturing facilities in Fitchburg, Massachusetts. Vytek Laser has been the choice for companies and industries worldwide, and Vytek Laser systems are designed, built and supported in the USA.", Logistics,
VZ Grips,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1568,72633,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2292,,,
W.R. Case & Sons Cutlery Co.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1571,10538,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1541,"Since 1889, Case® has been keeping America's hands sharp by making quality knives with integrity. Case knives have withstood the test of time, from the battlefields of WWII to the historic moon landing; a testament to Case's hard-working artisans in Bradford, PA. Case's high quality products include traditional folding pocketknives, fixed blade sporting knives, modern EDC's and limited production commemoratives.", Cutlery/Sharpeners/Knives/Accessories Hunting Gear/Accessories Custom Manufacturing,
"W&W Associates, Inc",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2225,51540,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=481,We provide a full consultative approach to ensure you feel informed and confident about creating your label that will promote your brand.​ Our label programs can allow you to focus on your business rather than looking for the resources to produce labels. We will use our experience to provide you with the label you want and need. Our label programs can allow you to focus on your business rather than looking for the resources to produce labels. We will use our experience to provide you with the label you want and need., Fabrics Fabrication Services,
Waldorf University,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1704,41612,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2789,"Waldorf University is a friendly, private liberal arts school located centrally in beautiful Forest City, Iowa. For more than 100 years, Waldorf has been the cornerstone in the lives of thousands, setting the solid foundation for success among students, their families and the community. Since its beginning in 1903, Waldorf has been at the forefront of academic innovation, trailblazing a path for future generations. Offering a litany of certificate, associate, bachelor’s and master’s degree programs, Waldorf has an opportunity for anyone who wants to improve their life.", Finishing,Begin your journey!Your degree. Your schedule.
"Walther Arms, Inc.",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2692,12472,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1684,"Walther Arms has been a leader in the firearms industry for almost 135 years. Walther has been renowned throughout the world for its innovation since Carl Walther and his son, Fritz, created the first semiautomatic pistol in 1908. Today, the innovative spirit of its founders lives on, as Walther is one of the world’s leading premium manufacturers of sporting, defense and law enforcement firearms.",,
War Wolf Sports Products,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1572,61007,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1403,"War Wolf Sports Products was founded in 2008 and is professional in tactical clothes, bullet vest and plate carrier; utility, medical, ammo pouch; gun case, holsters; backpacks and so on. Our products are widely used for military and law enforcement, airsoft, hunting, paintball as well as outdoor. We design and innovate different sewing products to meet different market demands. Since founded, we strive to offer our customers the best solution and service in quality control, fast delivery, and new products development. We have over 100 skilled sewing workers.",,
Warne Scope Mounts,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1573,20536,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1997,"Warne is a U.S. manufacturer of world-class optic mounts and accessories for the shooting industry. For over 30 years, Warne has been a leading innovator of scope mounting systems and is positioned to supply its branded products worldwide through distribution and dealer retail models. We also service the industry as a major OEM supplier. Warne: Confidence in Every Shot.", Retailer Services Holsters Magazines/CartridgesSHOT,
WARQ,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3138,62605,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1470,"WARQ produces helmets for Law Enforcement and Military training with marking ammunition. Lightweight and comfortable full face protection, Guarantees total absence of fogging during intensive training. Offering cranial protection. The only one covered by a 5 year warranty! Complies with the standards : American ASTM F1776 European EN 166A", Law Enforcement Products/Services Training and Safety Equipment,
"Warrior Systems Manufacturing, Inc.",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3981,71010,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2232,,,
Warriorland,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3256,11676,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1648,"WARRIORLAND is committed to providing tactical & military products, such as tactical lights, flashlights, light bearing holsters, clear holsters, kydex holsters, polymer holsters and accessories, which also offers one-stop service from design and production to sales and delivery, provides top quality products with a fast turnaround. 
All WARRIORLAND products have been tested and inspected strictly to ensure zero defectives to end users. 
Pursue freedom land with warrior spirits!", Holsters Retailer Services Hunting Gear/Accessories Lighting Products,
Warwick Tactical LLC,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1576,71112,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2253,, Firearms Firearm Barrels/Parts/Gunsmithing Custom Manufacturing,
Watchtower,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=477,71123,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2256,"WATCHTOWER Firearms specializes in manufacturing and building the most accurate and reliable rifles on the market. We have built a team with decades of experience in manufacturing, CNC machining and design to develop the best AR-15, AR-10, and bolt-actions on the market. Our sub-MOA rifles are made from only the best 7075-T6511 aluminum. With expert machining and hand-finishing of every product, our tolerances hold to within a thousandth. We manufacture and provide the finest 100% American-made weapons and parts around, and we also take great pride in our 100% product guarantee.", Firearm Grips/Stocks Hearing Protection Communications/Electronics/GPS Firearm Cabinets/Racks/Safes,
"Watershed, LLC",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1577,32302,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2087,"At Watershed, our singular focus is on making the world’s best waterproof carry bags: duffels, backpacks, gun cases, and mission-specific bags for water ops. Used by Special Operations Forces in the USA and worldwide, Watershed has been the waterproof bag of choice for the maritime tactical community for over 20 years. All Watershed bags are USA-made in Asheville, NC, and tested to be 100% airtight and fully submersible.", Association/Agencies/Wildlife Mgmt. Game Calls Recoil Protection Devices/Services Retailer Services,
Wavelength Opto-Electronic,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3731,40013,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=564,"Founded in 2002 and ISO 9001 certified since 2004, Wavelength Opto-Electronic's core business is optics design and manufacturing laser optics. We also provide services in optical modules, complex system customization, and LVHM rapid prototyping. We manufacture industrial laser machine process heads for the international laser application market and collaborate in extensive research and development for small-to-large scale customized optical systems while providing QA/QC metrology solutions too.", Scopes/Sights/Telescopes/Accessories Shooting Range Equipment Cameras/Equipment Custom Manufacturing Lighting Products,
We Knife Co. Ltd.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1578,13202,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1719,"WE Knife is setting a new standard in EDC knives and gear. WE Knife and CIVIVI EDC products are made from premium materials including CPM-S35VN / CPM-20CV / M390 steel and precision machined titanium. Every piece of gear from WE and CIVIVI is created with passion and crafted with premium fit and finish. The CIVIVI branded products bring a new standard to the EDC world by combining premium materials, innovative design, and budget prices.", Cutlery/Sharpeners/Knives/Accessories Holsters International Exhibitors,
WeatherTech,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1581,43651,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1280,"WeatherTech® is the industry leader, because we invest significant resources to offer your customers and end users the highest quality products, with world-class service. We’re driven by partnerships with trusted resellers and distributors like you, so why not team up so we can both succeed? WeatherTech® is fit for all. Find your fit with WeatherTech® Automotive Accessories, Home/Business Essentials, and Pet Products that are Made in the USA!", Training and Safety Equipment Treestands Camping,
Wellco Peruana,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1582,61507,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1429,"Wellco Peruana S.A. is a footwear manufacturer with more than 50 years of experience in the market. We are specialized in Military, Law Enforcement and Safety footwear that are sold in many counties around the world. Our main production facility is located in Lima, Perú where we have a production capacity of over 40,000 pairs per month. We also run a smaller production line for leather goods, such as gloves, aprons, boot covers between other leather goods.", Footwear International Exhibitors Law Enforcement Products/Services,
Wenzhou Only Electronics,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3452,40911,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2756,"Wenzhou Only Electronics Co.,Ltd., established in 2003, specializes in hearing protection. Our factory, located in Wenzhou, covers an area of 4000 square meters and more than 70 employees. Most of our products exported to USA,EU and etc.",,
Weoutdoor Fareast,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3510,41053,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=767,"Weoutdoor Fareast is located in Quanzhou, Fujian, China. As professional factory of bags design, production and sales and have developed all-around solutions for customers all over the world. Our main products are hunting bags, fishing bags, military bags, hiking backpacks, outdoor camping, traveling, mountaineering, fishing，cycling bags，waterproof backpack, waterproof cooler bags, waterproof duffel bags, dry bags and other outdoor sport travel hiking backpacks. Weoutdoor continues to put energy in the development of new technology and design.", Bags/Packs & Equipment,Tactical Backpack
West Ohio Tool Co.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2322,52329,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=210,"West Ohio Tool Co., creator of the EdgeX4 (see adjacent booth), helps manufacturers #GainTheEdge through custom PCD, carbide and CBN cutting tools for critical manufacturing needs. West Ohio Tool Co. helps design, manufacture, and service (retip and regrind) custom cutting tools. * 100% women owned & operated * WOSB, SB certification * State of Ohio WBE certification * ISO9001:2015 and AS9100 certifications * 100% Made in USA * Capabilities Statement - see website * Dept of Defense Supplier", Tools,Why cheaper tools are costing you more money!Capability StatementWe can help you with a new tool and servicing it until the end of its tool life.Impact 2023
Western Branch Metals LC,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2228,51912,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=52,"Distributor of stainless steel 416RQ rifle barrel bar stock with sizes ranging from 1"" diameter to 2-1/8"" diameter. Through the use of unique chemistry balance and customized mechanical properties, our customers are able to meet the high performance standards they're accustomed to providing the most demanding shooters. We work with the customer, no matter their size, through one-on-one discussions to formulate the best supply plan while providing technical support every step of the way.", Metal extrusions Machining,
Western Spring Mfg.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2230,51509,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=454,,,
Westfield Outdoor Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1585,42911,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1162,"Westfield Outdoors is a leading producer of outdoor leisure products. By using the latest manufacturing technologies and design innovations, we have established ourselves in many markets throughout the world.", Association/Agencies/Wildlife Mgmt. Firearm Barrels/Parts/Gunsmithing Game Calls Pet Supplies/Training Equipment,
Westone,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3009,,,"Westone: Elevating Shooting Experiences with Precision Hearing Protection. Our custom-fit solutions blend cutting-edge technology with personalized comfort to amplify safety and performance for shooters. Our electronic earplugs surpass industry standards, offering versatile, reliable protection without compromising situational awareness.",,
